,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
299,289,Luke Gregerson,35,STL,5.2,6,0,5,7.94,4.70,0.39,-0.32,98.5,3.92,-2,-0.2,.09,0.1,-0.1,-2,.460,.499,"$5,000,000",Free Agency
300,290,Zack Greinke,35,2TM,189.1,30,30,68,3.23,4.81,0.35,0.21,100.3,4.69,32,3.4,,-0.1,5.0,49,.613,.515,"$34,500,000",Free Agency
301,291,Zac Grotz,26,SEA,11.2,8,0,5,3.86,4.94,-0.45,-0.33,96.2,4.87,1,0.1,.77,0.0,0.2,3,.515,.501,,Free Agency
302,292,Robert Gsellman,25,NYM,63.2,52,0,36,5.09,4.73,-0.47,-0.32,92.0,4.48,-4,-0.4,1.28,-0.2,0.0,2,.493,.498,"$582,500",Amateur Draft
303,293,Reymin Guduan*,27,HOU,5.1,7,0,7,11.81,4.79,0.36,-0.32,101.3,4.16,-5,-0.4,.95,0.0,-0.4,-4,.440,.497,,Amateur Free Agent
304,294,Deolis Guerra,30,MIL,0.2,1,0,4,54.00,4.85,0.62,-0.34,96.0,3.73,-4,-0.3,.21,0.1,-0.2,-4,.231,.498,,Free Agency
305,295,Javy Guerra,33,2TM,60.0,43,0,33,4.95,4.65,-0.12,-0.32,104.2,4.64,-2,-0.2,.79,-0.1,0.3,4,.496,.499,"$800,000",Free Agency
306,296,Javy Guerra,23,SDP,1.2,2,0,4,21.60,4.65,0.39,-0.32,97.8,3.85,-3,-0.3,.11,0.1,-0.2,-3,.357,.498,,Traded
307,297,Junior Guerra,34,MIL,75.1,65,0,33,3.94,4.97,0.19,-0.34,99.5,4.42,5,0.5,1.61,0.0,1.1,11,.507,.503,"$2,225,000",Waivers
308,298,Tayron Guerrero,28,MIA,42.0,47,0,29,6.21,4.79,-0.01,-0.33,95.5,4.28,-9,-0.9,.78,0.0,-0.5,-5,.482,.495,"$565,000",Traded
309,299,Taylor Guerrieri,26,TEX,22.0,16,0,15,6.14,5.35,-0.26,-0.35,114.0,6.00,0,0.0,.66,0.0,0.1,2,.497,.500,,Free Agency
310,300,Taylor Guilbeau*,26,SEA,7.2,10,0,5,5.87,4.85,-0.59,-0.32,99.5,5.09,-1,-0.1,1.15,0.0,0.0,0,.493,.500,,Traded
311,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
312,301,Jandel Gustave,26,SFG,20.0,18,0,7,3.15,4.83,0.30,-0.33,97.8,4.11,2,0.2,1.43,0.0,0.4,4,.513,.501,,Free Agency
313,302,Jedd Gyorko,30,STL,0.1,1,0,0,0.00,4.19,0.00,-0.30,92.0,3.56,0,0.0,.00,0.0,0.0,0,.514,.500,"$13,000,000",Traded
314,303,Josh Hader*,25,MIL,66.0,52,0,21,2.86,4.90,0.12,-0.34,100.0,4.45,12,1.2,2.09,0.5,2.4,18,.524,.508,"$687,600",Traded
315,304,Jesse Hahn,29,KCR,2.0,2,0,0,0.00,3.83,0.05,-0.25,98.0,3.47,1,0.1,.15,0.0,0.1,1,.538,.500,"$800,000",Traded
316,305,David Hale,31,NYY,37.1,19,0,12,2.89,4.91,0.05,-0.27,96.8,4.44,6,0.6,.64,-0.2,0.8,11,.532,.504,,Free Agency
317,306,Matt Hall*,25,DET,16.2,12,0,15,8.10,5.33,-0.37,-0.35,101.8,5.44,-5,-0.5,1.28,-0.1,-0.4,-3,.461,.497,,Amateur Draft
318,307,Cole Hamels*,35,CHC,130.0,24,24,61,4.22,4.80,0.06,0.20,102.4,5.06,13,1.4,,-0.1,2.4,24,.557,.508,"$20,000,000",Traded
319,308,J.D. Hammer,24,PHI,19.0,20,0,8,3.79,5.03,0.11,-0.34,102.6,4.69,2,0.2,.60,-0.1,0.3,4,.510,.501,,Traded
320,309,Brad Hand*,29,CLE,56.1,59,0,21,3.36,4.88,0.30,-0.32,102.7,4.38,6,0.6,1.60,0.0,1.2,13,.510,.504,"$7,083,333",Traded
321,310,J.A. Happ*,36,NYY,146.1,28,28,83,5.10,4.92,0.05,0.23,94.5,4.82,-6,-0.5,,-0.1,0.8,11,.481,.497,"$17,000,000",Traded
322,311,Blaine Hardy*,32,DET,44.1,39,0,24,4.87,4.91,-0.42,-0.32,104.0,5.20,1,0.1,.88,-0.1,0.5,6,.503,.501,"$1,300,000",Free Agency
323,312,Ryne Harper,30,MIN,50.2,58,0,22,3.91,4.81,-0.02,-0.32,97.3,4.39,2,0.2,1.14,-0.1,0.6,8,.504,.501,"$555,000",Free Agency
324,313,Will Harris,34,HOU,54.2,61,0,14,2.30,4.94,0.30,-0.33,98.7,4.26,12,1.1,1.30,0.0,1.7,18,.519,.507,"$4,225,000",Waivers
325,314,Donnie Hart*,28,2TM,7.2,5,0,0,0.00,4.69,0.11,-0.32,101.2,4.30,4,0.4,.31,-0.1,0.3,4,.578,.502,,Waivers
326,315,Geoff Hartlieb,25,PIT,29.1,25,0,28,8.59,4.83,-0.44,-0.33,99.3,4.91,-12,-1.1,.51,0.2,-0.7,-9,.455,.493,,Amateur Draft
327,316,Hunter Harvey,24,BAL,5.1,6,0,1,1.69,4.72,-0.23,-0.31,106.6,4.95,2,0.2,1.44,0.0,0.3,3,.531,.501,,Amateur Draft
328,317,Joe Harvey,27,2TM,11.0,10,0,6,4.91,5.03,0.04,-0.33,93.0,4.33,-1,-0.1,.25,0.0,0.0,0,.493,.499,"$555,000",Traded
329,318,Matt Harvey,30,LAA,59.2,12,12,48,7.24,5.13,-0.08,0.24,100.1,5.45,-12,-1.1,,0.0,-0.6,-5,.408,.493,"$11,000,000",Free Agency
330,319,Andrew Heaney*,28,LAA,81.2,15,15,40,4.41,4.84,-0.06,0.22,99.4,5.10,6,0.6,,-0.1,1.3,15,.538,.504,"$3,400,000",Traded
331,320,Taylor Hearn*,24,TEX,0.1,1,1,5,135.00,5.56,-1.11,0.27,88.0,6.10,-5,-0.3,,0.0,-0.3,-5,.190,.498,,Traded
332,321,Jeremy Hellickson,32,WSN,39.0,9,8,31,7.15,4.62,-0.12,0.18,111.6,5.49,-7,-0.6,.15,0.0,-0.3,-4,.428,.496,"$1,300,000",Free Agency
333,322,Ryan Helsley,24,STL,27.2,15,0,7,2.28,4.62,0.25,-0.32,95.0,3.85,5,0.5,.45,-0.2,0.6,7,.535,.503,,Amateur Draft
334,323,Heath Hembree,30,BOS,37.2,43,0,20,4.78,5.00,-0.12,-0.33,102.7,4.92,0,0.0,.91,-0.1,0.3,5,.501,.500,"$1,312,500",Traded
335,324,Kyle Hendricks,29,CHC,159.2,27,27,67,3.78,4.81,0.06,0.21,99.0,4.92,22,2.3,,-0.1,3.6,35,.585,.514,"$7,405,000",Traded
336,325,Liam Hendriks,30,OAK,76.1,66,2,14,1.65,4.99,0.09,-0.33,92.9,4.25,22,2.1,1.64,0.5,3.4,30,.532,.513,"$2,150,000",Traded
337,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
338,326,Jimmy Herget,25,CIN,3.2,3,0,3,7.36,5.03,0.26,-0.34,104.0,4.60,-1,-0.1,.10,0.0,0.0,-1,.465,.499,,Amateur Draft
339,327,Darwinzon Hernandez*,22,BOS,29.0,26,1,15,4.66,4.80,-0.09,-0.26,108.5,5.02,1,0.1,.69,-0.1,0.3,4,.504,.501,,Amateur Free Agent
340,328,David Hernandez,34,CIN,42.2,47,0,39,8.23,4.94,0.19,-0.34,100.5,4.43,-18,-1.7,1.48,-0.5,-1.8,-14,.464,.489,"$2,500,000",Free Agency
341,329,Elieser Hernandez,24,MIA,72.1,19,13,45,5.60,4.98,-0.01,0.16,96.8,4.98,-4,-0.4,.55,0.0,0.2,2,.478,.497,,Rule 5 Draft
342,330,Felix Hernandez,33,SEA,54.1,12,12,49,8.12,5.00,-0.57,0.23,95.7,5.56,-16,-1.4,,0.0,-0.9,-10,.385,.491,"$27,858,000",Amateur Free Agent
343,331,Jonathan Hernandez,22,TEX,8.1,4,1,4,4.32,5.13,-0.29,-0.15,111.7,5.88,1,0.1,.53,0.0,0.2,2,.534,.501,,Amateur Free Agent
344,332,Kelvin Herrera,29,CHW,43.2,49,0,34,7.01,4.85,-0.51,-0.32,100.2,5.05,-10,-0.9,.93,-0.1,-0.6,-5,.481,.494,"$8,500,000",Free Agency
345,333,David Hess,25,BAL,77.0,21,14,72,8.42,4.99,-0.45,0.16,105.3,5.90,-22,-2.0,.25,0.0,-1.2,-13,.406,.488,"$563,500",Amateur Draft
346,334,Jordan Hicks,22,STL,28.2,29,0,10,3.14,4.70,0.22,-0.32,96.6,4.02,3,0.3,1.35,0.0,0.6,6,.511,.502,"$555,000",Amateur Draft
347,335,Trevor Hildenberger,28,MIN,14.1,20,0,13,8.16,4.51,-0.03,-0.30,97.3,4.13,-7,-0.6,1.97,-0.3,-0.8,-5,.469,.496,"$572,500",Amateur Draft
348,336,Rich Hill*,39,LAD,53.0,10,10,19,3.23,4.74,0.50,0.21,89.5,3.98,5,0.5,,0.0,0.9,9,.551,.503,"$18,666,666",Traded
349,337,Tim Hill*,29,KCR,30.1,35,0,14,4.15,4.75,0.08,-0.31,104.4,4.55,1,0.1,1.40,-0.1,0.4,5,.503,.501,"$573,175",Amateur Draft
350,338,Yoshihisa Hirano,35,ARI,46.0,55,0,28,5.48,4.86,0.36,-0.33,104.5,4.36,-5,-0.5,1.48,-0.2,-0.3,-1,.490,.497,"$3,000,000",Free Agency
351,339,Jeff Hoffman,26,COL,51.0,11,11,40,7.06,4.73,-0.06,0.21,118.8,5.94,-6,-0.6,,0.0,-0.1,-2,.449,.497,,Traded
352,340,Bryan Holaday,31,MIA,0.1,1,0,0,0.00,6.40,0.00,-0.43,92.0,5.48,0,0.0,.00,0.0,0.0,0,.521,.500,,Free Agency
353,341,Jonathan Holder,26,NYY,41.1,34,1,32,6.97,4.77,0.05,-0.28,96.3,4.28,-13,-1.2,1.11,-0.2,-0.9,-8,.465,.493,"$580,300",Amateur Draft
354,342,Derek Holland*,32,2TM,80.1,46,7,54,6.05,4.89,0.24,-0.10,95.1,4.33,-15,-1.4,.80,0.1,-0.6,-8,.470,.494,"$6,500,000",Traded
355,343,Greg Holland,33,ARI,35.2,40,0,18,4.54,4.88,0.31,-0.33,99.9,4.23,-1,-0.1,1.70,-0.1,0.1,2,.498,.499,"$3,250,000",Free Agency
356,344,Clay Holmes,26,PIT,42.1,28,0,32,6.80,4.76,-0.38,-0.33,97.4,4.69,-10,-0.9,.55,0.1,-0.4,-6,.467,.494,,Amateur Draft
357,345,Adrian Houser,26,MIL,95.1,31,14,41,3.87,4.81,0.19,0.01,99.5,4.61,9,0.9,1.23,-0.1,1.7,17,.528,.505,,Traded
358,346,Sam Howard*,26,COL,12.2,12,0,10,7.11,5.41,-0.06,-0.37,114.1,5.82,-2,-0.2,.69,0.0,-0.1,-1,.486,.499,,Free Agency
359,347,James Hoyt,32,CLE,2.0,2,0,0,0.00,4.72,0.24,-0.31,100.9,4.21,1,0.1,.55,0.0,0.1,1,.546,.501,,Traded
360,348,Wei-Chieh Huang,25,TEX,5.2,4,0,5,7.94,5.34,-0.41,-0.35,98.5,5.32,-2,-0.2,.25,0.0,-0.1,-1,.460,.499,,Traded
361,349,Dakota Hudson,24,STL,153.2,29,28,73,4.28,4.69,0.28,0.20,95.4,4.39,3,0.3,7.37,-0.1,1.6,16,.511,.502,"$559,100",Amateur Draft
362,350,Daniel Hudson,32,2TM,63.0,61,1,25,3.57,4.88,-0.11,-0.32,98.5,4.60,7,0.7,1.39,0.0,1.3,14,.511,.503,"$1,500,000",Free Agency
363,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
364,351,Jared Hughes,33,2TM,59.0,61,0,34,5.19,4.91,0.18,-0.34,101.7,4.48,-4,-0.4,1.09,-0.2,0.0,1,.493,.499,"$2,125,000",Free Agency
365,352,Danny Hultzen*,29,CHC,1.0,1,0,0,0.00,4.80,0.02,-0.33,102.0,4.54,1,0.1,.07,0.0,0.0,1,.553,.500,,Free Agency
366,353,Tommy Hunter,32,PHI,5.1,5,0,0,0.00,4.89,0.09,-0.34,90.4,4.04,2,0.3,.68,-0.1,0.3,3,.550,.502,"$9,000,000",Free Agency
367,354,Raisel Iglesias,29,CIN,60.1,61,0,29,4.33,4.86,0.16,-0.33,100.7,4.39,1,0.1,1.88,-0.1,0.6,6,.502,.501,"$5,714,285",Amateur Free Agent
368,355,Cole Irvin*,25,PHI,32.2,11,3,27,7.44,4.63,0.13,-0.04,101.9,4.55,-10,-0.9,.74,0.0,-0.6,-7,.414,.494,,Amateur Draft
369,356,Edwin Jackson,35,2TM,57.0,14,11,67,10.58,5.03,-0.31,0.20,103.3,5.72,-31,-2.4,.66,0.0,-1.9,-25,.326,.492,,Free Agency
370,357,Jay Jackson,31,MIL,24.1,21,0,13,4.81,4.59,0.16,-0.31,100.2,4.13,-2,-0.2,.43,0.0,0.1,0,.492,.499,,Free Agency
371,358,Luke Jackson,27,ATL,65.2,63,0,32,4.39,4.66,0.16,-0.32,103.7,4.34,0,0.0,1.69,-0.1,0.5,6,.500,.500,"$585,000",Free Agency
372,359,Josh James,26,HOU,55.1,42,1,30,4.88,4.98,0.23,-0.33,99.5,4.40,-3,-0.3,1.00,-0.1,0.1,3,.492,.498,"$556,800",Amateur Draft
373,360,Kenley Jansen,31,LAD,54.2,54,0,25,4.12,4.62,0.48,-0.32,93.7,3.58,-3,-0.3,1.82,-0.2,0.0,2,.495,.498,"$19,333,334",Free Agency
374,361,Jeremy Jeffress,31,MIL,52.0,48,0,32,5.54,4.80,0.21,-0.33,100.1,4.26,-7,-0.7,1.13,-0.2,-0.4,-2,.486,.496,"$3,175,000",Traded
375,362,Dan Jennings*,32,WSN,4.2,8,0,8,15.43,5.44,-0.12,-0.37,105.5,5.48,-5,-0.5,.93,0.0,-0.4,-5,.439,.497,,Free Agency
376,363,Williams Jerez*,27,SFG,6.2,6,0,2,2.70,4.98,0.27,-0.34,98.3,4.30,1,0.1,.75,0.0,0.2,2,.521,.501,,Traded
377,364,Jake Jewell,26,LAA,19.2,11,0,15,6.86,5.15,-0.07,-0.34,97.4,4.75,-5,-0.4,.42,0.1,-0.2,-2,.460,.497,,Amateur Draft
378,365,Eduardo Jimenez,24,DET,10.2,8,0,7,5.91,4.58,-0.45,-0.30,111.1,5.25,-1,-0.1,.29,0.0,0.0,0,.490,.499,,Amateur Free Agent
379,366,Joe Jimenez,24,DET,52.2,59,0,32,5.47,5.07,-0.33,-0.33,102.5,5.19,-2,-0.2,1.45,-0.2,0.2,4,.497,.499,"$569,200",Amateur Free Agent
380,367,Brian Johnson*,28,BOS,33.2,14,7,26,6.95,5.02,-0.16,0.05,101.0,5.28,-6,-0.6,.65,0.0,-0.3,-3,.457,.496,"$575,000",Amateur Draft
381,368,DJ Johnson,29,COL,17.0,20,0,12,6.35,5.19,-0.06,-0.36,109.3,5.35,-2,-0.2,.86,0.0,0.0,0,.491,.499,"$557,000",Free Agency
382,369,Nate Jones,33,CHW,10.1,13,0,4,3.48,4.79,-0.43,-0.32,100.5,4.93,2,0.2,.91,0.0,0.2,3,.512,.501,"$4,650,000",Amateur Draft
383,370,Caleb Joseph,33,ARI,1.1,2,0,0,0.00,4.70,0.39,-0.32,104.0,4.14,1,0.1,.00,0.0,0.0,1,.532,.500,,Free Agency
384,371,Jakob Junis,26,KCR,167.2,29,29,98,5.26,4.81,0.09,0.22,105.2,5.20,-2,-0.2,,-0.1,1.3,17,.493,.499,"$578,250",Amateur Draft
385,372,Ariel Jurado,23,TEX,116.2,29,17,84,6.48,4.97,-0.33,0.16,108.2,5.90,-8,-0.8,1.13,-0.1,0.3,5,.473,.495,,Amateur Free Agent
386,373,Tommy Kahnle,29,NYY,55.1,65,0,21,3.42,4.95,0.04,-0.33,95.5,4.38,6,0.5,1.18,-0.1,1.0,12,.508,.503,"$1,387,000",Traded
387,374,Nate Karns,31,BAL,5.1,4,2,1,1.69,5.61,-0.40,0.10,97.1,5.94,2,0.3,.20,0.0,0.3,3,.563,.502,"$800,000",Free Agency
388,375,Anthony Kay*,24,TOR,5.2,1,1,2,3.18,4.94,-0.09,0.23,94.0,4.94,1,0.1,,0.0,0.2,2,.612,.501,,Traded
389,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
390,376,Keone Kela,26,PIT,23.2,26,0,7,2.66,4.69,-0.34,-0.32,100.8,4.74,6,0.6,1.19,0.0,0.8,8,.522,.504,"$3,175,000",Traded
391,377,Brad Keller,23,KCR,165.1,28,28,80,4.35,4.69,0.09,0.22,103.4,4.99,11,1.1,,-0.1,2.5,30,.538,.506,"$578,125",Traded
392,378,Kyle Keller,26,MIA,6.2,6,0,4,5.40,4.46,-0.01,-0.31,94.8,3.95,-1,-0.1,.39,0.0,0.0,0,.483,.499,,Amateur Draft
393,379,Mitch Keller,23,PIT,33.0,8,8,33,9.00,4.34,-0.41,0.19,100.0,4.95,-15,-1.3,,0.0,-1.0,-12,.343,.492,,Amateur Draft
394,380,Shawn Kelley,35,TEX,42.0,43,0,20,4.29,5.15,-0.30,-0.34,112.5,5.74,7,0.6,1.78,0.1,1.2,11,.515,.504,"$2,500,000",Free Agency
395,381,Trevor Kelley,25,BOS,3.0,4,0,3,9.00,5.77,-0.17,-0.38,104.4,5.79,-1,-0.1,.50,0.0,-0.1,-1,.474,.499,,Amateur Draft
396,382,Joe Kelly,31,LAD,48.1,50,0,29,5.40,4.65,0.50,-0.32,97.4,3.73,-9,-0.8,.99,-0.1,-0.5,-4,.483,.495,"$3,333,333",Free Agency
397,383,Merrill Kelly,30,ARI,163.1,29,29,90,4.96,4.77,0.39,0.21,101.1,4.64,-4,-0.4,,-0.1,0.9,10,.485,.497,"$2,000,000",Free Agency
398,384,Ian Kennedy,34,KCR,57.1,57,0,22,3.45,4.84,0.08,-0.32,103.9,4.62,7,0.7,1.24,-0.1,1.2,14,.512,.504,"$16,500,000",Free Agency
399,385,Clayton Kershaw*,31,LAD,159.0,25,25,57,3.23,4.67,0.49,0.21,92.7,4.07,16,1.7,,-0.1,3.0,30,.568,.510,"$31,000,000",Amateur Draft
400,386,Dallas Keuchel*,31,ATL,90.2,15,15,37,3.67,4.64,0.19,0.20,103.7,4.82,12,1.3,,-0.1,2.0,20,.587,.508,"$13,000,000",Free Agency
401,387,Yusei Kikuchi*,28,SEA,149.1,29,29,98,5.91,5.07,-0.58,0.24,94.0,5.53,-7,-0.7,,-0.1,0.7,10,.477,.496,"$10,000,000",Free Agency
402,388,Craig Kimbrel,31,CHC,19.0,21,0,12,5.68,4.81,0.05,-0.33,96.5,4.27,-3,-0.3,1.75,-0.1,-0.3,-1,.487,.498,"$10,000,000",Free Agency
403,389,Nick Kingham,27,2TM,55.2,25,4,45,7.28,4.67,-0.34,-0.14,98.4,4.80,-15,-1.3,1.16,-0.2,-1.0,-10,.447,.495,"$569,000",Amateur Draft
404,390,Tyler Kinley,28,MIA,44.0,43,0,19,3.89,4.76,-0.01,-0.33,96.9,4.31,2,0.2,.79,-0.1,0.5,6,.506,.502,"$555,000",Rule 5 returned
405,391,Ian Kinsler,37,SDP,1.0,1,0,0,0.00,4.74,0.22,-0.32,92.0,3.87,0,0.0,.00,0.0,0.0,1,.545,.500,"$3,750,000",Free Agency
406,392,Brandon Kintzler,34,CHC,54.0,58,0,16,2.67,4.87,0.05,-0.33,99.2,4.45,11,1.1,1.33,0.1,1.7,16,.519,.507,,Traded
407,393,Andrew Kittredge,29,TBR,41.0,29,6,21,4.61,5.15,0.23,-0.20,95.4,4.50,-1,-0.1,.61,-0.1,0.3,4,.497,.500,,Traded
408,394,Branden Kline,27,BAL,34.1,27,0,28,7.34,5.15,-0.43,-0.34,102.9,5.39,-8,-0.7,.97,-0.1,-0.5,-4,.473,.496,,Amateur Draft
409,395,Corey Kluber,33,CLE,35.2,7,7,26,6.56,4.84,0.39,0.22,101.5,4.74,-7,-0.7,,0.0,-0.3,-3,.405,.496,"$17,000,000",Traded
410,396,Matt Koch,28,ARI,20.2,9,0,21,9.15,5.08,0.48,-0.35,96.6,4.11,-11,-1.0,.29,0.3,-0.5,-10,.386,.494,"$567,600",Traded
411,397,Adam Kolarek*,30,2TM,52.1,71,0,20,3.44,5.17,0.30,-0.34,95.3,4.32,5,0.5,1.17,-0.1,0.9,11,.507,.501,"$560,800",Traded
412,398,Joel Kuhnel,24,CIN,6.1,7,0,5,7.11,4.94,0.18,-0.34,102.3,4.52,-2,-0.2,.53,0.0,-0.1,-1,.475,.499,,Amateur Draft
413,399,Brady Lail,25,NYY,2.2,1,0,3,10.13,4.34,0.04,-0.29,92.0,3.69,-2,-0.2,1.51,0.0,-0.2,-2,.340,.499,,Amateur Draft
414,400,Travis Lakins,25,BOS,18.1,12,1,9,4.42,4.79,-0.14,-0.26,105.3,4.92,1,0.1,.79,-0.1,0.2,3,.507,.501,,Amateur Draft
415,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
416,401,Peter Lambert,22,COL,81.1,17,17,64,7.08,4.95,-0.07,0.22,118.7,6.21,-7,-0.7,,-0.1,0.0,0,.459,.496,,Amateur Draft
417,402,Dinelson Lamet,26,SDP,57.0,11,11,30,4.74,4.73,0.19,0.21,91.6,4.35,-2,-0.2,,0.0,0.3,3,.482,.499,"$566,700",Amateur Free Agent
418,403,Eric Lauer*,24,SDP,136.2,27,26,72,4.74,4.93,0.23,0.21,96.0,4.71,1,0.1,1.54,-0.1,1.2,12,.503,.500,"$562,500",Amateur Draft
419,404,Derek Law,28,TOR,53.1,49,4,31,5.23,5.01,-0.11,-0.31,99.8,4.81,-3,-0.3,.99,-0.1,0.1,3,.494,.498,,Traded
420,405,Mike Leake,31,2TM,178.1,29,29,106,5.35,4.94,-0.33,0.23,95.7,5.25,-3,-0.2,,-0.1,1.4,17,.494,.501,"$16,000,000",Traded
421,406,Wade LeBlanc*,34,SEA,119.1,25,8,77,5.81,5.03,-0.59,0.19,92.7,5.38,-6,-0.6,.91,-0.1,0.5,7,.475,.496,"$450,000",Free Agency
422,407,Jose Leclerc,25,TEX,60.2,62,3,29,4.30,5.10,-0.21,-0.32,109.0,5.44,7,0.7,1.28,0.0,1.3,14,.512,.504,"$1,500,000",Amateur Free Agent
423,408,Dominic Leone,27,STL,35.2,35,0,26,6.56,4.82,0.26,-0.33,96.4,4.08,-10,-0.9,.51,0.2,-0.5,-6,.473,.494,"$1,260,000",Traded
424,409,Jon Lester*,35,CHC,155.2,28,28,91,5.26,4.93,0.06,0.22,99.6,5.07,-2,-0.2,,-0.1,1.1,11,.493,.499,"$27,500,000",Free Agency
425,410,Francisco Liriano*,35,PIT,64.0,63,0,30,4.22,4.78,-0.39,-0.33,97.6,4.72,4,0.4,1.15,-0.1,0.9,10,.507,.503,"$100,000",Free Agency
426,411,Zack Littell,23,MIN,28.0,22,0,10,3.21,4.79,-0.02,-0.32,97.9,4.40,4,0.3,1.00,-0.1,0.6,7,.516,.502,,Traded
427,412,Ben Lively,27,KCR,1.0,1,0,3,27.00,5.07,0.14,-0.33,106.0,4.87,-2,-0.2,.34,0.1,-0.1,-2,.304,.499,,Waivers
428,413,Jonathan Loaisiga,24,NYY,23.1,9,3,12,4.63,4.92,0.04,-0.06,93.4,4.50,0,0.0,.38,0.0,0.2,2,.495,.500,"$560,550",Free Agency
429,414,Walker Lockett,25,NYM,19.1,5,4,15,6.98,4.49,-0.50,0.15,93.5,4.80,-5,-0.4,.14,0.0,-0.2,-3,.416,.497,,Traded
430,415,Jorge Lopez,26,KCR,104.0,35,14,78,6.75,4.69,0.09,0.05,102.6,4.77,-24,-2.2,.83,-0.1,-1.2,-12,.438,.487,"$562,250",Traded
431,416,Pablo Lopez,23,MIA,91.0,17,17,49,4.85,4.64,-0.01,0.20,97.1,4.71,-1,-0.1,,-0.1,0.7,7,.497,.500,"$555,000",Traded
432,417,Reynaldo Lopez,25,CHW,162.0,29,29,102,5.67,4.77,-0.47,0.22,100.8,5.50,-4,-0.4,,-0.1,1.1,15,.487,.498,"$580,000",Traded
433,418,Yoan Lopez,26,ARI,55.1,64,0,22,3.58,4.88,0.39,-0.33,102.8,4.28,5,0.5,1.34,0.0,1.0,9,.508,.503,"$556,900",Amateur Free Agent
434,419,Michael Lorenzen,27,CIN,74.2,67,0,28,3.38,4.84,0.18,-0.33,100.5,4.35,9,0.9,1.39,0.0,1.6,15,.513,.505,"$1,950,000",Amateur Draft
435,420,Aaron Loup*,31,SDP,3.1,4,0,0,0.00,4.76,0.16,-0.33,92.0,3.93,1,0.2,.95,0.0,0.2,2,.538,.501,"$1,200,000",Free Agency
436,421,Richard Lovelady*,23,KCR,20.0,25,0,17,7.65,5.25,0.10,-0.35,103.5,4.97,-6,-0.6,.76,0.0,-0.4,-4,.477,.496,,Amateur Draft
437,422,Josh Lucas,28,BAL,15.2,9,0,12,6.89,5.11,-0.40,-0.34,109.3,5.65,-2,-0.2,.35,0.0,0.0,0,.476,.499,,Free Agency
438,423,Joey Lucchesi*,26,SDP,150.0,27,27,66,3.96,4.77,0.21,0.21,94.4,4.50,10,1.1,,-0.1,2.3,23,.539,.507,"$565,100",Amateur Draft
439,424,Elvis Luciano,19,TOR,27.2,20,0,20,6.51,4.84,-0.13,-0.32,101.8,4.74,-6,-0.5,.27,0.1,-0.1,-2,.473,.497,"$555,000",Rule 5 Draft
440,425,Seth Lugo,29,NYM,71.0,54,0,26,3.30,4.72,-0.38,-0.32,92.8,4.43,10,1.0,1.60,0.1,1.8,16,.518,.506,"$591,875",Amateur Draft
441,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
442,426,Jordan Lyles,28,2TM,125.1,25,25,67,4.81,4.71,-0.19,0.21,98.7,5.04,4,0.5,,-0.1,1.6,15,.520,.500,"$2,050,000",Traded
443,427,Lance Lynn,32,TEX,181.2,29,29,81,4.01,5.09,-0.26,0.24,109.1,6.09,41,4.3,,-0.1,6.0,62,.649,.527,"$9,333,333",Free Agency
444,428,Tyler Lyons*,31,2TM,7.0,6,0,6,7.71,4.69,-0.22,-0.32,99.2,4.55,-2,-0.2,1.14,-0.2,-0.4,-2,.463,.499,,Free Agency
445,429,Kenta Maeda,31,LAD,146.0,29,26,67,4.13,4.51,0.49,0.18,96.1,4.03,0,0.0,1.27,-0.1,1.2,12,.499,.500,"$3,125,000",Free Agency
446,430,Matt Magill,29,2TM,45.0,44,0,30,6.00,4.78,-0.20,-0.32,98.5,4.59,-7,-0.7,1.01,0.0,-0.3,-2,.484,.497,"$560,000",Free Agency
447,431,Tyler Mahle,24,CIN,113.0,21,21,69,5.50,5.00,0.19,0.22,99.9,5.03,-5,-0.5,,-0.1,0.5,5,.477,.497,"$570,000",Amateur Draft
448,432,Luke Maile,28,TOR,2.0,2,0,0,0.00,4.37,-0.09,-0.29,105.8,4.41,1,0.1,.00,-0.1,0.1,1,.548,.501,"$579,000",Waivers
